Subject,Channel,Method,SNR-Diff,PSNR-Diff,RMSE,Corr,MI,BPPE_Delta,MSC_Delta,BPPE_Theta,MSC_Theta,BPPE_Alpha,MSC_Alpha,BPPE_Beta,MSC_Beta,BPPE_Gamma,MSC_Gamma,EvalMode,N_Trials
sub-1,C3,ASR_offline_20,2.02287574163957,-0.989921266526248,4.614610374710291e-06,0.7886350156215775,0.8236350403264211,0.0280591833430874,0.8094929733894907,0.010419164713486,0.924958728509675,0.0408761045906864,0.9785917754959444,0.0203580308715409,0.8360107006562777,0.0589964217757191,0.6874907021295745,real-erp,160.0
sub-1,C4,ASR_offline_20,1.5137958591613518,-0.385230545557409,6.840040217529987e-06,0.7554468141400495,0.6554694827223714,0.0350854315665626,0.760497116097583,0.0184002919485414,0.8595025326035939,0.0512033929460773,0.9521693496348206,0.0229338432883018,0.7927740956425564,0.0817552731728797,0.7017457970539166,real-erp,160.0
sub-1,C5,ASR_offline_20,1.9953190356556652,-3.023154847592618,1.0349335153124184e-05,0.6816488266291483,0.6356064786785245,0.0597854770396628,0.6904227036077829,0.010678309664586,0.8482993477826342,0.031205103566491,0.9606236980566422,0.0139286741716906,0.8053166566259307,0.0039733896368951,0.7405502632463131,real-erp,160.0
sub-1,C6,ASR_offline_20,0.0711844860589252,-0.1678525521875631,1.1985059102072137e-05,0.6526694368942763,0.4696748535303799,0.0300616848814208,0.610436205910963,0.0180972606301235,0.6231043028721284,0.0219926682747047,0.8819135824154509,0.0024505664532427,0.7139639899424871,0.0677010473330065,0.638100803378874,real-erp,160.0
sub-1,CPz,ASR_offline_20,-82.98684764243558,-0.8363766265941086,3.961268252339837e-06,0.8548646222610662,1.1514177770938545,0.0925311842815199,0.7987254352411174,0.0153871057113287,0.9464641568418248,0.0980488255721668,0.9910747964486702,0.0050775095989168,0.8551298858666578,0.0259822566008925,0.6706208540717146,real-erp,160.0
sub-1,Cz,ASR_offline_20,1.3300670083906656,-0.6455624101287976,3.0636599669066613e-06,0.8957771532373371,1.2904692408982323,0.0079059941688413,0.9134570153110828,0.0097145958556376,0.9795880439948952,0.0449024164600984,0.9921910868637828,0.0148362139755615,0.8875952108597456,0.0476867925090158,0.7631092566212153,real-erp,160.0
sub-1,F3,ASR_offline_20,0.7646330796484904,-0.2562756751912975,6.626267581924588e-06,0.8638668085357344,1.0252031233920187,0.0142893710693614,0.8566080154585476,0.0084600483206233,0.8996431950097183,0.0202586157382985,0.976068964391918,0.0140823267542734,0.9034732653496558,0.0289257083740097,0.8489176963520106,real-erp,160.0
sub-1,F4,ASR_offline_20,1.7829159015983862,-0.6840889925236509,1.5821346916528927e-05,0.790057178586146,0.841394470243212,0.1077735226133508,0.6479884192452801,0.0197601322349924,0.5373816067636781,0.0301593982113351,0.8675227468376117,0.0506646242109625,0.7513553593069948,0.1070284288487157,0.7601642101789341,real-erp,160.0
sub-1,F7,ASR_offline_20,-1.2546457273151486,0.4715025700531576,1.5601779192527153e-05,0.7392783803826595,0.6811239955702709,0.0056620418761343,0.5652240334662914,0.0190063061934731,0.5896508108137155,0.0326672266192764,0.8704564184919876,0.0124075680379651,0.7362824117216555,0.0336039228986503,0.7081986303761155,real-erp,160.0
sub-1,F8,ASR_offline_20,-0.2924681396501505,0.8457624788070088,2.832778865130763e-05,0.8542120979308293,1.155453655407498,0.0060827401485043,0.681410116594483,0.0016918131492753,0.6671800771146115,0.0014531321951852,0.92557254476156,0.0090306074346011,0.939584279116804,0.0153520285371956,0.9440765330268572,real-erp,160.0
